subsystem,year,month,MWh,demand_avg_mw,demand_scaled_mw,month_start,gen_mwh,hours_in_month,gen_avg_mw,avg_gap_mw,scaled_gap_mw,year_total
SUDESTE,2021.0,11.0,23608629.240000002,32789.762833333334,32789.762833333334,2021-11-01,17740090.63,720.0,24639.01476388889,-8150.748069444446,-8150.748069444446,2021
SUL,2021.0,11.0,7606358.402,10564.386669444444,10564.386669444444,2021-11-01,4181359.694,720.0,5807.444019444445,-4756.942649999999,-4756.942649999999,2021
TOTAL,,,,57819.94976527778,,2021-11-01,,,54794.00154444444,-3025.948220833332,-3025.948220833332,2021
NORDESTE,2021.0,12.0,7724804.827,10382.802186827956,10382.802186827956,2021-12-01,4184127.534,744.0,5623.827330645161,-4758.974856182795,-4758.974856182795,2021
NORTE,2021.0,12.0,2927484.149,3934.790522849463,3934.790522849463,2021-12-01,10101074.821,744.0,13576.713469086022,9641.922946236558,9641.922946236558,2021
PARAGUAI,2021.0,12.0,0.0,0.0,0.0,2021-12-01,3519958.719,744.0,4731.127310483871,4731.127310483871,4731.127310483871,2021
SUDESTE,2021.0,12.0,24144672.401,32452.516668010754,32452.516668010754,2021-12-01,20114061.363,744.0,27035.02871370968,-5417.487954301076,-5417.487954301076,2021
SUL,2021.0,12.0,7894044.801,10610.27527016129,10610.27527016129,2021-12-01,4308642.152,744.0,5791.185688172042,-4819.089581989248,-4819.089581989248,2021
TOTAL,,,,57380.38464784946,,2021-12-01,,,56757.882512096774,-622.5021357526884,-622.5021357526884,2021
NORDESTE,2022.0,1.0,7276885.631,9780.76025672043,9780.76025672043,2022-01-01,4679364.975,744.0,6289.469052419355,-3491.2912043010756,-3491.2912043010756,2022
NORTE,2022.0,1.0,2797731.6100000003,3760.3919489247314,3760.3919489247314,2022-01-01,12050978.887,744.0,16197.552267473118,12437.160318548387,12437.160318548387,2022
PARAGUAI,2022.0,1.0,0.0,0.0,0.0,2022-01-01,2787331.791,744.0,3746.4136975806455,3746.4136975806455,3746.4136975806455,2022
SUDESTE,2022.0,1.0,23780946.289,31963.637485215055,31963.637485215055,2022-01-01,21276071.458,744.0,28596.870239247313,-3366.7672459677415,-3366.7672459677415,2022
SUL,2022.0,1.0,8495715.219999999,11418.972069892472,11418.972069892472,2022-01-01,4225316.666,744.0,5679.189067204301,-5739.783002688171,-5739.783002688171,2022
TOTAL,,,,56923.76176075269,,2022-01-01,,,60509.49432392474,3585.7325631720432,3585.7325631720432,2022
NORDESTE,2022.0,2.0,7006678.211999999,10426.604482142857,10426.604482142857,2022-02-01,4441269.033,672.0,6609.031299107142,-3817.5731830357145,-3817.5731830357145,2022
NORTE,2022.0,2.0,2545801.295,3788.3947842261905,3788.3947842261905,2022-02-01,10943639.954,672.0,16285.17850297619,12496.78371875,12496.78371875,2022
PARAGUAI,2022.0,2.0,0.0,0.0,0.0,2022-02-01,2694724.713,672.0,4010.007013392857,4010.007013392857,4010.007013392857,2022
SUDESTE,2022.0,2.0,23537651.725,35026.26744791667,35026.26744791667,2022-02-01,20130694.174,672.0,29956.39013988095,-5069.877308035717,-5069.877308035717,2022
SUL,2022.0,2.0,8542968.892,12712.751327380955,12712.751327380955,2022-02-01,3292853.962,672.0,4900.0803005952375,-7812.671026785717,-7812.671026785717,2022
TOTAL,,,,61954.01804166667,,2022-02-01,,,61760.687255952376,-193.33078571429087,-193.33078571429087,2022
NORDESTE,2022.0,3.0,7467098.776,10036.423086021505,10036.423086021505,2022-03-01,4580985.398,744.0,6157.238438172043,-3879.1846478494617,-3879.1846478494617,2022
NORTE,2022.0,3.0,2764053.151,3715.125202956989,3715.125202956989,2022-03-01,11751259.937,744.0,15794.704216397851,12079.579013440862,12079.579013440862,2022
PARAGUAI,2022.0,3.0,0.0,0.0,0.0,2022-03-01,4182672.302,744.0,5621.871373655914,5621.871373655914,5621.871373655914,2022
SUDESTE,2022.0,3.0,25399773.082,34139.47994892473,34139.47994892473,2022-03-01,22337917.244,744.0,30024.0823172043,-4115.397631720432,-4115.397631720432,2022
SUL,2022.0,3.0,8763541.239,11778.953278225807,11778.953278225807,2022-03-01,3063591.53,744.0,4117.7305510752685,-7661.222727150538,-7661.222727150538,2022
TOTAL,,,,59669.98151612903,,2022-03-01,,,61715.626896505375,2045.6453803763425,2045.6453803763425,2022
NORDESTE,2022.0,4.0,7244856.444,10062.300616666667,10062.300616666667,2022-04-01,3806247.218,720.0,5286.454469444444,-4775.846147222223,-4775.846147222223,2022
NORTE,2022.0,4.0,2701925.791,3752.6747097222224,3752.6747097222224,2022-04-01,11686146.41,720.0,16230.758902777778,12478.084193055554,12478.084193055554,2022
PARAGUAI,2022.0,4.0,0.0,0.0,0.0,2022-04-01,3751677.589,720.0,5210.6633180555555,5210.6633180555555,5210.6633180555555,2022
SUDESTE,2022.0,4.0,25186425.033,34981.14587916667,34981.14587916667,2022-04-01,17059209.975,720.0,23693.347187500003,-11287.798691666663,-11287.798691666663,2022
SUL,2022.0,4.0,7905046.916999999,10979.231829166665,10979.231829166665,2022-04-01,4119455.057,720.0,5721.4653569444445,-5257.766472222221,-5257.766472222221,2022
TOTAL,,,,59775.35303472222,,2022-04-01,,,56142.689234722224,-3632.6637999999975,-3632.6637999999975,2022
NORDESTE,2022.0,5.0,7280080.736,9785.054752688171,9785.054752688171,2022-05-01,3141748.643,744.0,4222.780434139785,-5562.274318548386,-5562.274318548386,2022
NORTE,2022.0,5.0,2866747.395,3853.1551008064516,3853.1551008064516,2022-05-01,10492948.278,744.0,14103.42510483871,10250.27000403226,10250.27000403226,2022
PARAGUAI,2022.0,5.0,0.0,0.0,0.0,2022-05-01,3927667.714,744.0,5279.123271505377,5279.123271505377,5279.123271505377,2022
SUDESTE,2022.0,5.0,24153779.465,32464.75734543011,32464.75734543011,2022-05-01,14898406.341,744.0,20024.739705645163,-12440.017639784946,-12440.017639784946,2022
SUL,2022.0,5.0,7536736.034,10130.02155107527,10130.02155107527,2022-05-01,6375161.768,744.0,8568.765817204301,-1561.2557338709685,-1561.2557338709685,2022
TOTAL,,,,56232.988750000004,,2022-05-01,,,52198.83433333333,-4034.1544166666645,-4034.1544166666645,2022
NORDESTE,2022.0,6.0,7029856.913,9763.690156944444,9763.690156944444,2022-06-01,2989405.508,720.0,4151.952094444444,-5611.7380625,-5611.7380625,2022
NORTE,2022.0,6.0,2892061.5609999998,4016.752168055555,4016.752168055555,2022-06-01,7101296.725,720.0,9862.912118055556,5846.159950000001,5846.159950000001,2022
PARAGUAI,2022.0,6.0,0.0,0.0,0.0,2022-06-01,3959250.957,720.0,5498.9596624999995,5498.9596624999995,5498.9596624999995,2022
SUDESTE,2022.0,6.0,23212218.411,32239.1922375,32239.1922375,2022-06-01,13073653.332,720.0,18157.85185,-14081.3403875,-14081.3403875,2022
SUL,2022.0,6.0,7588736.985,10539.912479166667,10539.912479166667,2022-06-01,9291507.358,720.0,12904.871330555554,2364.9588513888866,2364.9588513888866,2022
TOTAL,,,,56559.547041666665,,2022-06-01,,,50576.54705555555,-5982.999986111112,-5982.999986111112,2022
NORDESTE,2022.0,7.0,7114116.473,9561.98450672043,9561.98450672043,2022-07-01,4379742.845,744.0,5886.751135752688,-3675.2333709677414,-3675.2333709677414,2022
